id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401628385,2024,7,regular,2024-10-12T16:00:00.000Z,False,True,False,True,,3657,Bryant-Denny Stadium,333,Alabama,SEC,fbs,27.0,"[7, 7, 0, 13]",0.5317165485267156,2014,2010.0,2579,South Carolina,SEC,fbs,25.0,"[0, 12, 7, 6]",0.46828345147328443,1654.0,1658.0,8.337485999,,
401628390,2024,7,regular,2024-10-12T19:30:00.000Z,False,True,True,True,,499,Cotton Bowl,201,Oklahoma,SEC,fbs,3.0,"[3, 0, 0, 0]",0.06185499673879433,1827,1780.0,251,Texas,SEC,fbs,34.0,"[0, 21, 3, 10]",0.9381450032612056,2091.0,2138.0,3.020050815,,Allstate Red River Rivalry
401628386,2024,7,regular,2024-10-12T20:15:00.000Z,False,True,False,True,,3917,Sanford Stadium,61,Georgia,SEC,fbs,41.0,"[10, 17, 7, 7]",0.9860373811833222,2033,2009.0,344,Mississippi State,SEC,fbs,31.0,"[3, 7, 14, 7]",0.013962618816677819,1371.0,1395.0,4.7759123974,,
401628391,2024,7,regular,2024-10-12T23:00:00.000Z,False,True,False,True,,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,23.0,"[0, 0, 10, 7, 6]",0.7931088508179842,1947,1936.0,57,Florida,SEC,fbs,17.0,"[3, 0, 7, 7, 0]",0.2068911491820158,1537.0,1548.0,7.2760140012,,
401628388,2024,7,regular,2024-10-12T23:30:00.000Z,False,True,False,True,,3958,Tiger Stadium (LA),99,LSU,SEC,fbs,29.0,"[0, 13, 3, 7, 6]",0.26681076882312127,1874,1875.0,145,Ole Miss,SEC,fbs,26.0,"[0, 17, 3, 3, 3]",0.7331892311768787,1906.0,1905.0,8.6586387449,,
401628387,2024,7,regular,2024-10-12T23:45:00.000Z,False,True,False,True,,3683,Kroger Field,96,Kentucky,SEC,fbs,13.0,"[0, 7, 0, 6]",0.3874286012685711,1686,1645.0,238,Vanderbilt,SEC,fbs,20.0,"[7, 7, 3, 3]",0.612571398731429,1359.0,1400.0,4.0517060383,,
401628395,2024,8,regular,2024-10-19T16:00:00.000Z,False,True,False,True,,3838,Memorial Stadium,142,Missouri,SEC,fbs,21.0,"[3, 0, 3, 15]",0.23393596298858255,1737,1735.0,2,Auburn,SEC,fbs,17.0,"[0, 3, 14, 0]",0.7660640370114175,1550.0,1552.0,8.0479951949,,
401628396,2024,8,regular,2024-10-19T16:45:00.000Z,False,True,False,True,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,SEC,fbs,9.0,"[0, 3, 6, 0]",0.15115189282518085,1780,1694.0,2579,South Carolina,SEC,fbs,35.0,"[21, 11, 0, 3]",0.8488481071748192,1658.0,1744.0,1.9556014898,,
401628397,2024,8,regular,2024-10-19T19:30:00.000Z,False,True,False,True,,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,24.0,"[0, 0, 14, 10]",0.9341870502227599,1936,1950.0,333,Alabama,SEC,fbs,17.0,"[0, 7, 3, 7]",0.06581294977724006,2010.0,1996.0,9.9902493945,,
401628394,2024,8,regular,2024-10-19T20:15:00.000Z,False,True,False,True,,3693,Davis Wade Stadium,344,Mississippi State,SEC,fbs,24.0,"[7, 10, 0, 7]",0.027039430126155475,1395,1405.0,245,Texas A&M,SEC,fbs,34.0,"[7, 14, 10, 3]",0.9729605698738445,1781.0,1771.0,4.4843261843,,
